"","Species","Genus","Subfamily","Family","Order"
"1749","Canthigaster natalensis","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1750","Canthigaster papua","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1751","Canthigaster punctatissima","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1752","Canthigaster rivulata","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1753","Canthigaster rostrata","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1754","Canthigaster smithae","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1755","Canthigaster solandri","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1756","Canthigaster valentini","Canthigaster","Canthigasterinae","Tetraodontidae","Tetraodontiformes"
"1757","Canthophrys gongota","Canthophrys",NA,"Cobitidae","Cypriniformes"
"1758","Capoeta aculeata","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1759","Capoeta angorae","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1760","Capoeta antalyensis","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1761","Capoeta baliki","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1762","Capoeta banarescui","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1763","Capoeta barroisi","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1764","Capoeta bergamae","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1765","Capoeta buhsei","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1766","Capoeta caelestis","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1767","Capoeta capoeta capoeta","Capoeta",NA,"Cyprinidae","Cypriniformes"
"1768","Capoeta capoeta sevangi","Capoeta",NA,"Cyprinidae","Cypriniformes"
"1769","Capoeta damascina","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1770","Capoeta ekmekciae","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1771","Capoeta kosswigi","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1772","Capoeta mauricii","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1773","Capoeta pestai","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1774","Capoeta sieboldii","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1775","Capoeta tinca","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1776","Capoeta trutta","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1777","Capoeta turani","Capoeta","Barbinae","Cyprinidae","Cypriniformes"
"1778","Caprichthys gymnura","Caprichthys",NA,"Aracanidae","Tetraodontiformes"
"1779","Capropygia unistriata","Capropygia",NA,"Aracanidae","Tetraodontiformes"
"1780","Capros aper","Capros",NA,"Caproidae","Incertae sedis in Eupercaria"
"1781","Caquetaia kraussii","Caquetaia","Cichlinae","Cichlidae","Cichliformes"
"1782","Caquetaia myersi","Caquetaia","Cichlinae","Cichlidae","Cichliformes"
"1783","Caquetaia spectabilis","Caquetaia","Cichlinae","Cichlidae","Cichliformes"
"1784","Caquetaia umbrifera","Caquetaia",NA,"Cichlidae","Cichliformes"
"1785","Caracanthus maculatus","Caracanthus","Caracanthinae","Scorpaenidae","Perciformes"
"1786","Caracanthus unipinna","Caracanthus","Caracanthinae","Scorpaenidae","Perciformes"
"1787","Caragobius urolepis","Caragobius","Amblyopinae","Gobiidae","Gobiiformes"
"1788","Carangoides armatus","Carangoides","Caranginae","Carangidae","Carangiformes"
"1789","Carangoides bajad","Carangoides","Caranginae","Carangidae","Carangiformes"
"1790","Carangoides bartholomaei","Carangoides",NA,"Carangidae","Carangiformes"
"1791","Carangoides chrysophrys","Carangoides","Caranginae","Carangidae","Carangiformes"
"1792","Carangoides dinema","Carangoides","Caranginae","Carangidae","Carangiformes"
"1793","Carangoides equula","Carangoides","Caranginae","Carangidae","Carangiformes"
"1794","Carangoides ferdau","Carangoides","Caranginae","Carangidae","Carangiformes"
"1795","Carangoides fulvoguttatus","Carangoides","Caranginae","Carangidae","Carangiformes"
"1796","Carangoides gymnostethus","Carangoides","Caranginae","Carangidae","Carangiformes"
"1797","Carangoides hedlandensis","Carangoides","Caranginae","Carangidae","Carangiformes"
"1798","Carangoides malabaricus","Carangoides","Caranginae","Carangidae","Carangiformes"
"1799","Carangoides orthogrammus","Carangoides",NA,"Carangidae","Carangiformes"
"1800","Carangoides otrynter","Carangoides","Caranginae","Carangidae","Carangiformes"
"1801","Carangoides talamparoides","Carangoides","Caranginae","Carangidae","Carangiformes"
"1802","Caranx bucculentus","Caranx","Caranginae","Carangidae","Carangiformes"
"1803","Caranx caballus","Caranx","Caranginae","Carangidae","Carangiformes"
"1804","Caranx caninus","Caranx","Caranginae","Carangidae","Carangiformes"
"1805","Caranx crysos","Caranx","Caranginae","Carangidae","Carangiformes"
"1806","Caranx heberi","Caranx","Caranginae","Carangidae","Carangiformes"
"1807","Caranx hippos","Caranx","Caranginae","Carangidae","Carangiformes"
"1808","Caranx ignobilis","Caranx","Caranginae","Carangidae","Carangiformes"
"1809","Caranx latus","Caranx","Caranginae","Carangidae","Carangiformes"
"1810","Caranx lugubris","Caranx","Caranginae","Carangidae","Carangiformes"
"1811","Caranx melampygus","Caranx","Caranginae","Carangidae","Carangiformes"
"1812","Caranx papuensis","Caranx","Caranginae","Carangidae","Carangiformes"
"1813","Caranx rhonchus","Caranx","Caranginae","Carangidae","Carangiformes"
"1814","Caranx ruber","Caranx","Caranginae","Carangidae","Carangiformes"
"1815","Caranx sexfasciatus","Caranx","Caranginae","Carangidae","Carangiformes"
"1816","Caranx tille","Caranx","Caranginae","Carangidae","Carangiformes"
"1817","Caranx vinctus","Caranx","Caranginae","Carangidae","Carangiformes"
"1818","Carapus boraborensis","Carapus",NA,"Carapidae","Ophidiiformes"
"1819","Carasobarbus apoensis","Carasobarbus","Torinae","Cyprinidae","Cypriniformes"
"1820","Carasobarbus canis","Carasobarbus","Torinae","Cyprinidae","Cypriniformes"
"1821","Carasobarbus chantrei","Carasobarbus","Torinae","Cyprinidae","Cypriniformes"
"1822","Carasobarbus luteus","Carasobarbus","Torinae","Cyprinidae","Cypriniformes"
"1823","Carassioides acuminatus","Carassioides","Cyprininae","Cyprinidae","Cypriniformes"
"1824","Carassius auratus","Carassius","Cyprininae","Cyprinidae","Cypriniformes"
"1825","Carassius carassius","Carassius","Cyprininae","Cyprinidae","Cypriniformes"
"1826","Carassius cuvieri","Carassius","Cyprininae","Cyprinidae","Cypriniformes"
"1827","Carassius gibelio","Carassius","Cyprininae","Cyprinidae","Cypriniformes"
"1828","Carassius langsdorfii","Carassius","Cyprininae","Cyprinidae","Cypriniformes"
"1829","Cardiopharynx schoutedeni","Cardiopharynx","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"1830","Careproctus attenuatus","Careproctus",NA,"Liparidae","Perciformes"
"1831","Careproctus canus","Careproctus",NA,"Liparidae","Perciformes"
"1832","Careproctus colletti","Careproctus",NA,"Liparidae","Perciformes"
"1833","Careproctus continentalis","Careproctus",NA,"Liparidae","Perciformes"
"1834","Careproctus cypselurus","Careproctus",NA,"Liparidae","Perciformes"
"1835","Careproctus furcellus","Careproctus",NA,"Liparidae","Perciformes"
"1836","Careproctus georgianus","Careproctus",NA,"Liparidae","Perciformes"
"1837","Careproctus gilberti","Careproctus",NA,"Liparidae","Perciformes"
"1838","Careproctus longipectoralis","Careproctus",NA,"Liparidae","Perciformes"
"1839","Careproctus melanurus","Careproctus",NA,"Liparidae","Perciformes"
"1840","Careproctus phasma","Careproctus",NA,"Liparidae","Perciformes"
"1841","Careproctus rastrinus","Careproctus",NA,"Liparidae","Perciformes"
"1842","Careproctus reinhardti","Careproctus",NA,"Liparidae","Perciformes"
"1843","Carinotetraodon borneensis","Carinotetraodon","Tetraodontinae","Tetraodontidae","Tetraodontiformes"
"1844","Carinotetraodon imitator","Carinotetraodon","Tetraodontinae","Tetraodontidae","Tetraodontiformes"
"1845","Carinotetraodon irrubesco","Carinotetraodon","Tetraodontinae","Tetraodontidae","Tetraodontiformes"
"1846","Carinotetraodon lorteti","Carinotetraodon","Tetraodontinae","Tetraodontidae","Tetraodontiformes"
"1847","Carinotetraodon salivator","Carinotetraodon","Tetraodontinae","Tetraodontidae","Tetraodontiformes"
"1848","Carinotetraodon travancoricus","Carinotetraodon","Tetraodontinae","Tetraodontidae","Tetraodontiformes"
"1849","Carlana eigenmanni","Carlana","Stethaprioninae","Characidae","Characiformes"
"1850","Carlarius heudelotii","Carlarius","Ariinae","Ariidae","Siluriformes"
"1851","Carlarius latiscutatus","Carlarius","Ariinae","Ariidae","Siluriformes"
"1852","Carlarius parkii","Carlarius","Ariinae","Ariidae","Siluriformes"
"1853","Carlhubbsia kidderi","Carlhubbsia","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"1854","Carlhubbsia stuarti","Carlhubbsia","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"1855","Carnegiella marthae","Carnegiella",NA,"Gasteropelecidae","Characiformes"
"1856","Carnegiella strigata","Carnegiella",NA,"Gasteropelecidae","Characiformes"
"1857","Carpiodes carpio","Carpiodes","Ictiobinae","Catostomidae","Cypriniformes"
"1858","Carpiodes cyprinus","Carpiodes","Ictiobinae","Catostomidae","Cypriniformes"
"1859","Carpiodes velifer","Carpiodes","Ictiobinae","Catostomidae","Cypriniformes"
"1860","Caspiosoma caspium","Caspiosoma","Gobiinae","Gobiidae","Gobiiformes"
"1861","Cataetyx laticeps","Cataetyx",NA,"Bythitidae","Ophidiiformes"
"1862","Cataetyx lepidogenys","Cataetyx",NA,"Bythitidae","Ophidiiformes"
"1863","Cataetyx rubrirostris","Cataetyx",NA,"Bythitidae","Ophidiiformes"
"1864","Catathyridium jenynsii","Catathyridium",NA,"Achiridae","Pleuronectiformes"
"1865","Cathorops agassizii","Cathorops","Ariinae","Ariidae","Siluriformes"
"1866","Cathorops aguadulce","Cathorops","Ariinae","Ariidae","Siluriformes"
"1867","Cathorops arenatus","Cathorops","Ariinae","Ariidae","Siluriformes"
"1868","Cathorops dasycephalus","Cathorops","Ariinae","Ariidae","Siluriformes"
"1869","Cathorops fuerthii","Cathorops","Ariinae","Ariidae","Siluriformes"
"1870","Cathorops hypophthalmus","Cathorops","Ariinae","Ariidae","Siluriformes"
"1871","Cathorops manglarensis","Cathorops","Ariinae","Ariidae","Siluriformes"
"1872","Cathorops mapale","Cathorops","Ariinae","Ariidae","Siluriformes"
"1873","Cathorops multiradiatus","Cathorops","Ariinae","Ariidae","Siluriformes"
"1874","Cathorops raredonae","Cathorops","Ariinae","Ariidae","Siluriformes"
"1875","Cathorops spixii","Cathorops","Ariinae","Ariidae","Siluriformes"
"1876","Cathorops steindachneri","Cathorops","Ariinae","Ariidae","Siluriformes"
"1877","Cathorops taylori","Cathorops","Ariinae","Ariidae","Siluriformes"
"1878","Cathorops tuyra","Cathorops","Ariinae","Ariidae","Siluriformes"
"1879","Catla catla","Catla",NA,"Cyprinidae","Cypriniformes"
"1880","Catlocarpio siamensis","Catlocarpio","Probarbinae","Cyprinidae","Cypriniformes"
"1881","Catoprion mento","Catoprion","Serrasalminae","Serrasalmidae","Characiformes"
"1882","Catostomus ardens","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1883","Catostomus bernardini","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1884","Catostomus cahita","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1885","Catostomus catostomus","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1886","Catostomus clarkii","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1887","Catostomus columbianus","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1888","Catostomus commersonii","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1889","Catostomus conchos","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1890","Catostomus discobolus discobolus","Catostomus",NA,"Catostomidae","Cypriniformes"
"1891","Catostomus insignis","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1892","Catostomus leopoldi","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1893","Catostomus macrocheilus","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1894","Catostomus microps","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1895","Catostomus nebuliferus","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1896","Catostomus occidentalis occidentalis","Catostomus",NA,"Catostomidae","Cypriniformes"
"1897","Catostomus platyrhynchus","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1898","Catostomus plebeius","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1899","Catostomus rimiculus","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1900","Catostomus santaanae","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1901","Catostomus snyderi","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1902","Catostomus tahoensis","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1903","Catostomus warnerensis","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1904","Catostomus wigginsi","Catostomus","Catostominae","Catostomidae","Cypriniformes"
"1905","Caulolatilus affinis","Caulolatilus",NA,"Malacanthidae","Incertae sedis in Eupercaria"
"1906","Caulolatilus intermedius","Caulolatilus",NA,"Malacanthidae","Incertae sedis in Eupercaria"
"1907","Caulolatilus microps","Caulolatilus",NA,"Malacanthidae","Incertae sedis in Eupercaria"
"1908","Caulolatilus princeps","Caulolatilus",NA,"Malacanthidae","Incertae sedis in Eupercaria"
"1909","Cebidichthys violaceus","Cebidichthys",NA,"Stichaeidae","Perciformes"
"1910","Centrarchops chapini","Centrarchops",NA,"Dinopercidae","Incertae sedis in Eupercaria"
"1911","Centrarchus macropterus","Centrarchus",NA,"Centrarchidae","Centrarchiformes"
"1912","Centroberyx affinis","Centroberyx",NA,"Berycidae","Beryciformes"
"1913","Centroberyx australis","Centroberyx",NA,"Berycidae","Beryciformes"
"1914","Centroberyx druzhinini","Centroberyx",NA,"Berycidae","Beryciformes"
"1915","Centroberyx gerrardi","Centroberyx",NA,"Berycidae","Beryciformes"
"1916","Centroberyx lineatus","Centroberyx",NA,"Berycidae","Beryciformes"
"1917","Centroberyx spinosus","Centroberyx",NA,"Berycidae","Beryciformes"
"1918","Centrobranchus nigroocellatus","Centrobranchus","Myctophinae","Myctophidae","Myctophiformes"
"1919","Centrochir crocodili","Centrochir","Doradinae","Doradidae","Siluriformes"
"1920","Centrodoras brachiatus","Centrodoras","Doradinae","Doradidae","Siluriformes"
"1921","Centrodoras hasemani","Centrodoras","Doradinae","Doradidae","Siluriformes"
"1922","Centrogenys vaigiensis","Centrogenys",NA,"Centrogenyidae","Incertae sedis in Eupercaria"
"1923","Centrolabrus caeruleus","Centrolabrus",NA,"Labridae","Labriformes"
"1924","Centrolabrus exoletus","Centrolabrus",NA,"Labridae","Labriformes"
"1925","Centrolabrus trutta","Centrolabrus",NA,"Labridae","Labriformes"
"1926","Centrolophus niger","Centrolophus",NA,"Centrolophidae","Scombriformes"
"1927","Centromochlus existimatus","Centromochlus","Centromochlinae","Auchenipteridae","Siluriformes"
"1928","Centromochlus heckelii","Centromochlus","Centromochlinae","Auchenipteridae","Siluriformes"
"1929","Centropomus armatus","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1930","Centropomus ensiferus","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1931","Centropomus medius","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1932","Centropomus mexicanus","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1933","Centropomus nigrescens","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1934","Centropomus parallelus","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1935","Centropomus pectinatus","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1936","Centropomus poeyi","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1937","Centropomus robalito","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1938","Centropomus undecimalis","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1939","Centropomus unionensis","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1940","Centropomus viridis","Centropomus",NA,"Centropomidae","Incertae sedis in Carangaria"
"1941","Centropristis striata","Centropristis",NA,"Serranidae","Perciformes"
"1942","Centropyge acanthops","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1943","Centropyge argi","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1944","Centropyge aurantia","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1945","Centropyge aurantonotus","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1946","Centropyge bicolor","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1947","Centropyge bispinosa","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1948","Centropyge eibli","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1949","Centropyge ferrugata","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1950","Centropyge flavicauda","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1951","Centropyge flavissima","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1952","Centropyge heraldi","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1953","Centropyge loriculus","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1954","Centropyge multicolor","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1955","Centropyge multispinis","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1956","Centropyge nox","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1957","Centropyge potteri","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1958","Centropyge tibicen","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1959","Centropyge venusta","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1960","Centropyge vrolikii","Centropyge",NA,"Pomacanthidae","Incertae sedis in Eupercaria"
"1961","Cephalocassis borneensis","Cephalocassis","Ariinae","Ariidae","Siluriformes"
"1962","Cephalocassis melanochir","Cephalocassis","Ariinae","Ariidae","Siluriformes"
"1963","Cephalopholis argus","Cephalopholis",NA,"Serranidae","Perciformes"
"1964","Cephalopholis boenak","Cephalopholis",NA,"Serranidae","Perciformes"
"1965","Cephalopholis cruentata","Cephalopholis",NA,"Serranidae","Perciformes"
"1966","Cephalopholis cyanostigma","Cephalopholis",NA,"Serranidae","Perciformes"
"1967","Cephalopholis formosa","Cephalopholis",NA,"Serranidae","Perciformes"
"1968","Cephalopholis fulva","Cephalopholis",NA,"Serranidae","Perciformes"
"1969","Cephalopholis hemistiktos","Cephalopholis",NA,"Serranidae","Perciformes"
"1970","Cephalopholis igarashiensis","Cephalopholis",NA,"Serranidae","Perciformes"
"1971","Cephalopholis leopardus","Cephalopholis",NA,"Serranidae","Perciformes"
"1972","Cephalopholis microprion","Cephalopholis",NA,"Serranidae","Perciformes"
"1973","Cephalopholis miniata","Cephalopholis",NA,"Serranidae","Perciformes"
"1974","Cephalopholis nigri","Cephalopholis",NA,"Serranidae","Perciformes"
"1975","Cephalopholis nigripinnis","Cephalopholis",NA,"Serranidae","Perciformes"
"1976","Cephalopholis panamensis","Cephalopholis",NA,"Serranidae","Perciformes"
"1977","Cephalopholis polleni","Cephalopholis",NA,"Serranidae","Perciformes"
"1978","Cephalopholis sexmaculata","Cephalopholis",NA,"Serranidae","Perciformes"
"1979","Cephalopholis sonnerati","Cephalopholis",NA,"Serranidae","Perciformes"
"1980","Cephalopholis spiloparaea","Cephalopholis",NA,"Serranidae","Perciformes"
"1981","Cephalopholis urodeta","Cephalopholis",NA,"Serranidae","Perciformes"
"1982","Cephalosilurus apurensis","Cephalosilurus",NA,"Pseudopimelodidae","Siluriformes"
"1983","Cepola macrophthalma","Cepola","Cepolinae","Cepolidae","Incertae sedis in Eupercaria"
"1984","Cepola pauciradiata","Cepola","Cepolinae","Cepolidae","Incertae sedis in Eupercaria"
"1985","Cepola schlegelii","Cepola","Cepolinae","Cepolidae","Incertae sedis in Eupercaria"
"1986","Ceratias holboelli","Ceratias",NA,"Ceratiidae","Lophiiformes"
"1987","Ceratias tentaculatus","Ceratias",NA,"Ceratiidae","Lophiiformes"
"1988","Ceratoglanis scleronema","Ceratoglanis",NA,"Siluridae","Siluriformes"
"1989","Ceratoscopelus maderensis","Ceratoscopelus","Lampanyctinae","Myctophidae","Myctophiformes"
"1990","Ceratoscopelus townsendi","Ceratoscopelus","Lampanyctinae","Myctophidae","Myctophiformes"
"1991","Ceratoscopelus warmingii","Ceratoscopelus","Lampanyctinae","Myctophidae","Myctophiformes"
"1992","Cercamia eremia","Cercamia","Apogoninae","Apogonidae","Kurtiformes"
"1993","Cerdale floridana","Cerdale","Microdesminae","Gobiidae","Gobiiformes"
"1994","Cestraeus goldiei","Cestraeus",NA,"Mugilidae","Mugiliformes"
"1995","Cestraeus oxyrhyncus","Cestraeus",NA,"Mugilidae","Mugiliformes"
"1996","Cetengraulis edentulus","Cetengraulis","Engraulinae","Engraulidae","Clupeiformes"
"1997","Cetengraulis mysticetus","Cetengraulis","Engraulinae","Engraulidae","Clupeiformes"
"1998","Cetomimus craneae","Cetomimus",NA,"Cetomimidae","Beryciformes"
"1999","Cetopsidium soniae","Cetopsidium","Cetopsinae","Cetopsidae","Siluriformes"
"2000","Cetopsis candiru","Cetopsis","Cetopsinae","Cetopsidae","Siluriformes"
"2001","Cetopsis coecutiens","Cetopsis","Cetopsinae","Cetopsidae","Siluriformes"
"2002","Cetopsis gobioides","Cetopsis","Cetopsinae","Cetopsidae","Siluriformes"
"2003","Cetopsorhamdia iheringi","Cetopsorhamdia",NA,"Heptapteridae","Siluriformes"
"2004","Cetopsorhamdia insidiosa","Cetopsorhamdia",NA,"Heptapteridae","Siluriformes"
"2005","Cetoscarus bicolor","Cetoscarus","Scarinae","Labridae","Labriformes"
"2006","Cetostoma regani","Cetostoma",NA,"Cetomimidae","Beryciformes"
"2007","Chaca bankanensis","Chaca",NA,"Chacidae","Siluriformes"
"2008","Chaca chaca","Chaca",NA,"Chacidae","Siluriformes"
"2009","Chaenocephalus aceratus","Chaenocephalus",NA,"Channichthyidae","Perciformes"
"2010","Chaenodraco wilsoni","Chaenodraco",NA,"Channichthyidae","Perciformes"
"2011","Chaenogobius annularis","Chaenogobius","Gobionellinae","Gobiidae","Gobiiformes"
"2012","Chaenogobius gulosus","Chaenogobius","Gobionellinae","Gobiidae","Gobiiformes"
"2013","Chaenomugil proboscideus","Chaenomugil",NA,"Mugilidae","Mugiliformes"
"2014","Chaenopsis alepidota","Chaenopsis",NA,"Chaenopsidae","Blenniiformes"
"2015","Chaenopsis limbaughi","Chaenopsis",NA,"Chaenopsidae","Blenniiformes"
"2016","Chaenopsis schmitti","Chaenopsis",NA,"Chaenopsidae","Blenniiformes"
"2017","Chaetobranchopsis orbicularis","Chaetobranchopsis","Astronotinae","Cichlidae","Cichliformes"
"2018","Chaetobranchus flavescens","Chaetobranchus","Astronotinae","Cichlidae","Cichliformes"
"2019","Chaetobranchus semifasciatus","Chaetobranchus","Astronotinae","Cichlidae","Cichliformes"
"2020","Chaetodermis penicilligerus","Chaetodermis",NA,"Monacanthidae","Tetraodontiformes"
"2021","Chaetodipterus faber","Chaetodipterus",NA,"Ephippidae","Ephippiformes"
"2022","Chaetodon adiergastos","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2023","Chaetodon argentatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2024","Chaetodon aureofasciatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2025","Chaetodon auriga","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2026","Chaetodon auripes","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2027","Chaetodon austriacus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2028","Chaetodon baronessa","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2029","Chaetodon bennetti","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2030","Chaetodon blackburnii","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2031","Chaetodon burgessi","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2032","Chaetodon capistratus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2033","Chaetodon citrinellus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2034","Chaetodon collare","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2035","Chaetodon decussatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2036","Chaetodon dolosus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2037","Chaetodon ephippium","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2038","Chaetodon falcula","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2039","Chaetodon fasciatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2040","Chaetodon flavirostris","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2041","Chaetodon fremblii","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2042","Chaetodon guentheri","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2043","Chaetodon guttatissimus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2044","Chaetodon hoefleri","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2045","Chaetodon interruptus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2046","Chaetodon kleinii","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2047","Chaetodon larvatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2048","Chaetodon lineolatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2049","Chaetodon lunula","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2050","Chaetodon lunulatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2051","Chaetodon madagaskariensis","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2052","Chaetodon melannotus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2053","Chaetodon mertensii","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2054","Chaetodon meyeri","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2055","Chaetodon miliaris","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2056","Chaetodon mitratus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2057","Chaetodon multicinctus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2058","Chaetodon ocellatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2059","Chaetodon ocellicaudus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2060","Chaetodon octofasciatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2061","Chaetodon ornatissimus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2062","Chaetodon oxycephalus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2063","Chaetodon paucifasciatus","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"2064","Chaetodon pelewensis","Chaetodon",NA,"Chaetodontidae","Chaetodontiformes"
